original_title,cast,director,keywords,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,profit
An American Crime,Ellen Page|Catherine Keener|Hayley McFarland|Nick Searcy|Romy Rosemont,Tommy O'Haver,carnival|basement|dysfunctional family|independent film|teenage girl,97.0,Crime|Drama,Killer Films|Showtime Networks|First Look International,2007-07-27,2007,2103337.16526309,115100887.62834093,-2103337.16526309
Chapter 27,Lindsay Lohan|Jared Leto|Mark Lindsay Chapman|Mariko Takai|Ursula Abbott,J.P. Schaefer,john lennon|independent film|killer,84.0,Drama,Peace Arch Entertainment Group|Artina Films,2007-01-25,2007,36889069.20400227,115100887.62834093,0.0
The Lookout,Joseph Gordon-Levitt|Jeff Daniels|Matthew Goode|Isla Fisher|Carla Gugino,Scott Frank,robbery|mentally disabled|bank robber|burst of violence|car crash,99.0,Crime|Drama|Thriller,Miramax Films,2007-03-09,2007,16826697.3221047,5644336.83304098,-11182360.489063721
Contre-EnquÃªte,Jean Dujardin|Laurent Lucas|AgnÃ¨s Blanchot|AurÃ©lien Recoing|Jacques Frantz,Franck Mancuso,investigation|serial killer,85.0,Thriller,PathÃ© Renn Productions,2007-03-07,2007,36889069.20400227,115100887.62834093,0.0
Suburban Girl,Sarah Michelle Gellar|Alec Baldwin|Maggie Grace|James Naughton,Marc Klein,new york|library|brother sister relationship|jazz|loss of parents,97.0,Comedy|Drama|Romance,OddLot Entertainment,2007-04-27,2007,36889069.20400227,115100887.62834093,0.0
La hora frÃ­a,Silke|Omar MuÃ±oz|Pepo Oliva|Carola Manzanares|Jorge Casalduero,,,92.0,Horror|Thriller|Science Fiction|Mystery|Foreign,,2007-09-14,2007,36889069.20400227,115100887.62834093,0.0
Boogeyman 2,Renee O'Connor|Mae Whitman|Michael Graziadei |Tobin Bell|Matt Cohen,Jeff Betancourt,male nudity|female nudity|sex|loss of mother|suicide attempt,93.0,Horror|Thriller,Ghost House Pictures|Destination Films,2007-10-20,2007,4732508.62184195,115100887.62834093,-4732508.62184195
Until Death,Jean-Claude Van Damme|Selina Giles|Mark Dymond|William Ash|Stephen Lord,Simon Fellows,,101.0,Action|Drama|Thriller,Nu Image Films|Millennium Films,2007-01-19,2007,10516685.8263154,115100887.62834093,-10516685.8263154
Robot Chicken: Star Wars,Candace Bailey|Bob Bergen|Ahmed Best|Seth Green|Abraham Benrubi,Seth Green,,23.0,Animation|Comedy|Science Fiction,Lucasfilm,2007-07-17,2007,36889069.20400227,115100887.62834093,0.0
The Air I Breathe,Brendan Fraser|Andy GarcÃ­a|Sarah Michelle Gellar|Clark Gregg|Emile Hirsch,Jieho Lee,corruption|horse race|suicide attempt|death of a friend|gambling debts,95.0,Drama|Action|Thriller|Crime,NALA Films,2007-02-07,2007,36889069.20400227,115100887.62834093,0.0
Timber Falls,Josh Randall|Nick Searcy|Beth Broderick|Sascha Rosemann|T.W. Leshner,Tony Giglio,fanatic|west virginia|suspense|forest,97.0,Horror|Thriller,Ascendant Pictures|A-Mark Entertainment|Film Tiger|Rifkin-Eberts,2007-12-07,2007,2734338.31484201,115100887.62834093,-2734338.31484201
Sicko,Michael Moore|George W. Bush|Bill Clinton|Hillary Clinton|Billy Crystal,Michael Moore,bureaucracy|usa|corruption|cuba|medicine,123.0,Documentary,The Weinstein Company,2007-05-18,2007,9465017.24368391,25806383.1865957,16341365.94291179
Pathfinder,Karl Urban|Moon Bloodgood|Russell Means|Clancy Brown|Jay Tavare,Marcus Nispel,viking|native american|torture,99.0,Action,Twentieth Century Fox Film Corporation|Dune Entertainment|Major Studio Partners|Phoenix Pictures,2007-01-11,2007,47325086.2184195,32415434.5405191,-14909651.6779004
Gone Baby Gone,Casey Affleck|Michelle Monaghan|Morgan Freeman|Ed Harris|John Ashton,Ben Affleck,corruption|robbery|detective|based on novel|boston,113.0,Crime|Drama|Mystery,Miramax Films|The Ladd Company,2007-10-19,2007,19981703.0699993,36408449.7784607,16426746.708461396
The Savages,Laura Linney|Philip Seymour Hoffman|Philip Bosco|Cara Seymour|Peter Friedman,Tamara Jenkins,father-son relationship|depression|parents kids relationship|brother sister relationship|professor,114.0,Drama,Fox Searchlight Pictures|Cooper's Town Productions|Lone Star Corporation|Ad Hominem Enterprises,2007-01-19,2007,36889069.20400227,115100887.62834093,0.0
Hellboy Animated: Blood and Iron,Ron Perlman|Selma Blair|John Hurt|Doug Jones|Peri Gilpin,Victor Cook|Tad Stones,vampire|manga|horror|sequel|adult animation,75.0,TV Movie|Fantasy|Animation|Horror|Action,IDT Entertainment,2007-03-10,2007,36889069.20400227,115100887.62834093,0.0
Wind Chill,Emily Blunt|Ashton Holmes|Martin Donovan|Ned Bellamy,Gregory Jacobs,terror|winter|paranoia|cold|supernatural,91.0,Drama|Horror|Thriller,Section Eight|TriStar Pictures|Blueprint Pictures,2007-04-27,2007,6310011.49578927,115100887.62834093,-6310011.49578927
Closing the Ring,Shirley MacLaine|Christopher Plummer|Dylan Roberts|Gene Dinovi|Neve Campbell,Richard Attenborough,nudity|bomber|airplane|war|love,118.0,Drama|Romance,CTR|Spinster|Prospero Pictures,2007-09-14,2007,24188377.4005255,115100887.62834093,-24188377.4005255
Young People Fucking,Aaron Abrams|Carly Pope|Kristin Booth|Josh Dean|Sonja Bennett,Martin Gero,erotic movie,90.0,Comedy|Drama|Romance,Copperheart Entertainment,2007-09-05,2007,1577502.87394731,115100887.62834093,-1577502.87394731
Shelter,Trevor Wright|Tricia Pierce|Brad Rowe|Tina Holmes|Jackson Wurth,Jonah Markowitz,gay|brother brother relationship|california|skateboarding|brother sister relationship,97.0,Action|Drama|Romance,GP Pictures,2007-06-16,2007,36889069.20400227,115100887.62834093,0.0
Ten Inch Hero,Elisabeth Harnois|Clea DuVall|Sean Patrick Flanery|Jensen Ackles|Danneel Ackles,David McKay,,97.0,Comedy|Drama|Romance,,2007-04-25,2007,36889069.20400227,115100887.62834093,0.0
Walk Hard: The Dewey Cox Story,John C. Reilly|Jenna Fischer|Tim Meadows|Kristen Wiig|Raymond J. Barry,Jake Kasdan,music record|rock and roll|pop|hip-hop|fab four,96.0,Comedy|Music,Columbia Pictures Corporation|Apatow Productions,2007-12-21,2007,36808400.3921041,19263572.230018,-17544828.162086096
Lissi und der wilde Kaiser,Michael Herbig|Christian Tramitz|Waldemar Kobus|Rick Kavanian|Gerd Knebel,Michael Herbig,monster|emperor|yeti,85.0,Animation|Comedy,herbX film GmbH,2007-10-24,2007,36889069.20400227,115100887.62834093,0.0
Boy A,Andrew Garfield|Katie Lyons|Peter Mullan|Alfie Owen|Shaun Evans,John Crowley,independent film,100.0,Crime|Drama,Film 4,2007-10-28,2007,36889069.20400227,115100887.62834093,0.0
Meet Bill,Aaron Eckhart|Jessica Alba|Elizabeth Banks|Timothy Olyphant|Logan Lerman,Bernie Goldmann|Melisa Wallack,adultery|candy|mentor|high school|independent film,97.0,Comedy|Drama|Romance,Greenestreet Films|Eclipse Catering,2007-09-07,2007,5258342.91315773,364499.917391432,-4893842.995766299
First Born,Elisabeth Shue|Steven Mackintosh|Kathleen Chalfant|Khandi Alexander|Carolyn Gilroy,Isaac Webb,independent film,95.0,Drama|Horror|Thriller,Alejandro MartÃ­nez,2007-01-01,2007,36889069.20400227,115100887.62834093,0.0
Manuale d'amore 2 (Capitoli successivi),Monica Bellucci|Riccardo Scamarcio|Carlo Verdone|Fabio Volo|Sergio Rubini,Giovanni Veronesi,date|love|couple|multiple storylines,120.0,Comedy|Drama,,2007-01-01,2007,36889069.20400227,115100887.62834093,0.0
Things We Lost in the Fire,Halle Berry|Benicio del Toro|David Duchovny|Alison Lohman|Sarah Dubrovsky,Susanne Bier,sadness|loss of father|junkie|luxury|heroin,113.0,Drama,DreamWorks SKG|Neal Street Productions|DreamWorks Pictures|Province of British Columbia Production Services Tax Credit,2007-09-26,2007,16826697.3221047,2996353.128856,-13830344.1932487
Death Defying Acts,Catherine Zeta-Jones|Guy Pearce|Timothy Spall|Saoirse Ronan|Malcolm Shields,Gillian Armstrong,scotland|escape artist|clairvoyant|woman director|1920s,97.0,Drama|Romance,BBC Films,2007-09-13,2007,21033371.6526309,3744.99182275093,-21029626.66080815
WÎ”Z,Selma Blair|Melissa George|Stellan SkarsgÃ¥rd|Sally Hawkins|John Sharian,Tom Shankland,detective|chase|investigation|police|psychopath,104.0,Crime|Drama|Horror|Thriller,Ingenious Film Partners|UK Film Council|Northern Ireland Film and Television Commission|Vertigo Films,2007-05-19,2007,36889069.20400227,115100887.62834093,0.0
The Babysitters,John Leguizamo|Katherine Waterston|Cynthia Nixon|Andy Comeau|Denis O'Hare,David Ross,sex|adultery|nudity|babysitter|cabin,88.0,Drama,Forensic Films|Upload Films|O.D.D. Entertainment|Rebel Films,2007-09-11,2007,36889069.20400227,47169.4392681901,47169.4392681901
Married Life,Chris Cooper|Pierce Brosnan|Patricia Clarkson|Rachel McAdams|David Wenham,Ira Sachs,sex|jealousy|lover (female)|restaurant|deceived husband,90.0,Crime|Drama|Romance,Sidney Kimmel Entertainment|Firm Films|Anonymous Content,2007-09-12,2007,12620022.9915785,115100887.62834093,-12620022.9915785
Firehouse Dog,Josh Hutcherson|Bruce Greenwood|Bill Nunn|Scotch Ellis Loring|Teddy Sears,Todd Holland,human being-animal relationship|dog|arsonist,111.0,Adventure|Comedy|Family,New Regency Productions,2007-04-04,2007,36889069.20400227,115100887.62834093,0.0
Sleuth,Jude Law|Michael Caine|Harold Pinter|Carmel O'Sullivan|Kenneth Branagh,Kenneth Branagh,lover (female)|insurance fraud|men|remake|millionaire,86.0,Thriller,Sony Pictures Classics|Castle Rock Entertainment|Timnick Films|Mandate Pictures|Riff Raff Film Productions,2007-10-12,2007,36889069.20400227,115100887.62834093,0.0
Tin Man,Zooey Deschanel|Alan Cumming|Neal McDonough|Kathleen Robertson|Raoul Max Trujillo,Nick Willing,,270.0,Adventure|Fantasy|Science Fiction,RHI,2007-04-17,2007,36889069.20400227,115100887.62834093,0.0
Bratz,Logan Browning|Janel Parrish|Nathalia Ramos|Skyler Shaye|Chelsea Kane,Sean McNamara,duringcreditsstinger,110.0,Comedy,,2007-08-03,2007,36889069.20400227,115100887.62834093,0.0
The Last Mimzy,Chris O'Neil|Rhiannon Leigh Wryn|Joely Richardson|Timothy Hutton|Rainn Wilson,Robert Shaye,parents kids relationship|cuddle rabbit|children,94.0,Adventure|Family,New Line Cinema|Michael Phillips Productions,2007-02-09,2007,36889069.20400227,28707871.602624,28707871.602624
Highlander V: The Source,Adrian Paul|Thekla Reuten|Cristian Solimeno|Peter Wingfield|Jim Byrnes,Brett Leonard,revenge|murder|killer,86.0,Action|Fantasy|Science Fiction,Davis-Panzer Productions|Sequence Film,2007-02-06,2007,13671691.5742101,115100887.62834093,-13671691.5742101
Reign Over Me,Adam Sandler|Don Cheadle|Jada Pinkett Smith|Liv Tyler|Saffron Burrows,Mike Binder,confidence|trauma|leaving one's family|childhood memory|airplane,124.0,Drama,Columbia Pictures|Happy Madison Productions|Sunlight Productions|Relativity Media|Madison 23,2007-03-23,2007,21033371.6526309,23370503.1571616,2337131.504530702
Love in the Time of Cholera,Javier Bardem|Unax Ugalde|Benjamin Bratt|Catalina Sandino Moreno|HÃ©ctor Elizondo,Mike Newell,sex|marriage proposal|new love|colombia|letter,139.0,Drama|Romance,New Line Cinema|Grosvenor Park Media Ltd.,2007-10-04,2007,47325086.2184195,4845676.57468177,-42479409.64373773
Anamorph,Willem Dafoe|Scott Speedman|Peter Stormare|Clea DuVall|James Rebhorn,Henry Miller,detective inspector|artwork|suspense,107.0,Crime|Thriller,Kamala Films,2007-09-21,2007,36889069.20400227,115100887.62834093,0.0
Redline,Nathan Phillips|Nadia Bjorlin|Eddie Griffin|Tim Matheson|Jesse Johnson,Andy Cheng,street race,95.0,Action|Drama|Thriller,Chicago Pictures,2007-04-13,2007,27343383.1484202,115100887.62834093,-27343383.1484202
Battle For Haditha,Matthew Knoll|Elliott Ruiz|Eric Mehalacopoulos|Nathan De La Cruz|Andrew McLaren,Nick Broomfield,grenade|circumcision|independent film|attack|marine,97.0,Action|Adventure|Drama|History|War,HanWay Films|Film4,2007-09-11,2007,36889069.20400227,115100887.62834093,0.0
I'm Not There.,Cate Blanchett|Heath Ledger|Julianne Moore|Ben Whishaw|Charlotte Gainsbourg,Todd Haynes,rock and roll|music style|success|john f. kennedy|advancement,135.0,Drama|Music,Endgame Entertainment|Rising Star|Killer Films|John Wells Productions|Dreamachine,2007-10-01,2007,21033371.6526309,4207853.25100731,-16825518.401623588
Nocturna,Imanol Arias|Natalia RodrÃ­guez|Carlos Sobera,AdriÃ  GarcÃ­a|VÃ­ctor Maldonado,,80.0,Animation,Filmax Entertainment|Filmax Animation|Animakids Productions,2007-09-06,2007,36889069.20400227,115100887.62834093,0.0
Aqua Teen Hunger Force Colon Movie Film for Theaters,Dana Snyder|Carey Means|Dave Willis|Andy Merrill|Bruce Campbell,Matt Maiellaro|Dave Willis,africa|blood splatter|surrealism|blood|robot,86.0,Animation|Comedy,Paramount Pictures|MTV Films|Williams Street|First Look Pictures|Paramount Animation,2007-04-13,2007,36889069.20400227,115100887.62834093,0.0
Gracie,Jesse Lee Soffer|Christopher Shand|Carly Schroeder|Karl Girolamo|Vasilios Mantagas,Davis Guggenheim,,97.0,Drama|Family,,2007-06-01,2007,9465017.24368391,3107721.67675094,-6357295.566932971
Resurrecting the Champ,Samuel L. Jackson|Josh Hartnett|Alan Alda|Teri Hatcher|Kathryn Morris,Rod Lurie,sport,112.0,Drama,Battleplan Productions|Yari Film Group|Alberta Film Entertainment|Phoenix Pictures,2007-06-14,2007,36889069.20400227,115100887.62834093,0.0
Import/Export,Ekateryna Rak|Paul Hofmann|Michael Thomas|Susanne Lothar|Natalya Baranova,Ulrich Seidl,ukraine|pflegeheim|exploitation|independent film|teacher,135.0,Drama|Foreign,Pronto Film,2007-05-21,2007,36889069.20400227,115100887.62834093,0.0
Your Friend the Rat,Patton Oswalt|Peter Sohn|Lou Romano|Sigmund Vik|Jim Capobianco,Jim Capobianco,pixar animated short|chef|rat,11.0,Animation|Adventure|Comedy|Family|Fantasy,Pixar Animation Studios,2007-11-06,2007,36889069.20400227,115100887.62834093,0.0
Bury My Heart At Wounded Knee,Anna Paquin|Chevez Ezaneh|August Schellenberg|Duane Howard|Aidan Quinn,Yves Simoneau,indian|war crimes|indigenous|mass murder|native american attack,125.0,Drama|History|Western,Green Wolf Films|Traveler's Rest Films|HBO Films,2007-05-27,2007,36889069.20400227,115100887.62834093,0.0
Storm Warning,Nadia FarÃ¨s|Robert Taylor|John Brumpton|David Lyons|Mathew Wilkinson,Jamie Blanks,island|sadism|castration|psychopath|revenge,86.0,Horror,Darclight Films|Australian Film Finance Corporation (AFFC)|Film Victoria|Resolution Independent,2007-05-17,2007,36889069.20400227,115100887.62834093,0.0
The Visitor,Richard Jenkins|Haaz Sleiman|Danai Gurira|Hiam Abbass|Marian Seldes,Tom McCarthy,michigan|flat|immigration|drum|class,104.0,Crime|Drama|Music,Overture Films,2007-09-07,2007,36889069.20400227,9711644.04299683,9711644.04299683
Mansfield Park,Billie Piper|Rory Kinnear|Hayley Atwell|Julia Joyce|Douglas Hodge,Iain B. MacDonald,jane austen|tv movie,120.0,Drama,ITV,2007-03-18,2007,36889069.20400227,115100887.62834093,0.0
Cleaner,Samuel L. Jackson|Ed Harris|Eva Mendes|Luis GuzmÃ¡n|Keke Palmer,Renny Harlin,coverup,88.0,Crime|Thriller|Mystery,Nu Image Films|Millennium Films,2007-09-11,2007,26291714.5657886,115100887.62834093,-26291714.5657886
King of California,Michael Douglas|Evan Rachel Wood|Willis Burks II|Kathleen Wilhoite|Arthur Santiago,Mike Cahill,robbery|treasure|cello|daughter|father,93.0,Comedy|Drama,Nu Image Films|Michael London Productions|Millennium Films|Emmett/Furla Films|King of California Productions,2007-01-24,2007,36889069.20400227,1080798.75070185,1080798.75070185
Earth,Patrick Stewart|Constantino Romero|James Earl Jones|Ken Watanabe|Ulrich Tukur,Alastair Fothergill|Mark Linfield,ocean|himalaya|ice|walrus|antarctic,90.0,Documentary,BBC,2007-04-22,2007,15775028.7394731,114631875.506838,98856846.76736489
The Dukes of Hazzard: The Beginning,Jonathan Bennett|Randy Wayne|April Scott|Joel David Moore|Harland Williams,Robert Berlinger,prequel,95.0,Action|Adventure|Comedy,Warner Premiere,2007-03-04,2007,36889069.20400227,115100887.62834093,0.0
Jeff Dunham: Spark of Insanity,Jeff Dunham|Paige Dunham,Michael Simon,ventriloquist|stand-up,80.0,Comedy,Levity Productions,2007-09-17,2007,36889069.20400227,115100887.62834093,0.0
Silk,Keira Knightley|Michael Pitt|Alfred Molina|KÅji Yakusho|Sei Ashina,FranÃ§ois Girard,,107.0,Drama|Romance,Rhombus Media,2007-09-14,2007,21033371.6526309,115100887.62834093,-21033371.6526309
Interview,Sienna Miller|Steve Buscemi|Michael Buscemi|Tara Elders|David Schecter,Steve Buscemi,journalist|journalism|distrust|audio tape|wound,100.0,Drama,Column Productions|Ironworks Productions|Kiss the Cactus,2007-01-20,2007,36889069.20400227,115100887.62834093,0.0
Flood,Robert Carlyle|Tom Courtenay|Joanne Whalley|Jessalyn Gilsig|David Suchet,Tony Mitchell,tornado,185.0,Action|Thriller|Foreign,Powercorp,2007-04-09,2007,36889069.20400227,115100887.62834093,0.0
How to Rob a Bank,Nick Stahl|Erika Christensen|Gavin Rossdale|Terry Crews|David Carradine,Andrews Jenkins,,81.0,Action|Comedy|Crime,Williamsburg Media Cult,2007-01-25,2007,36889069.20400227,115100887.62834093,0.0
The Good Night,PenÃ©lope Cruz|Martin Freeman|Gwyneth Paltrow|Simon Pegg|Danny DeVito,Jake Paltrow,dream|midlife crisis|lucid dreaming,93.0,Comedy|Drama|Romance|Fantasy|Music,Destination Films|Tempesta Films|Good Night Productions,2007-01-25,2007,15775028.7394731,21433.0057140309,-15753595.73375907
The Last Legion,Colin Firth|Ben Kingsley|Aishwarya Rai Bachchan|Peter Mullan|Kevin McKidd,Doug Lefler,roman empire|emperor|ancient rome|western roman empire|ancient world,102.0,Action|Adventure|Fantasy|War,Ingenious Film Partners|Quinta Communications|Dino De Laurentiis Company|Zephyr Films,2007-04-19,2007,70461795.0363136,26610410.1097321,-43851384.926581495
Prey,Bridget Moynahan|Peter Weller|Carly Schroeder|Jamie Bartlett|Conner Dowds,Darrell James Roodt,africa|father-son relationship|brother sister relationship|wife husband relationship|lion,92.0,Adventure|Horror|Thriller,Ingenious Film Partners|Distant Horizons|Anant Singh Production|Videovision Entertainment,2007-01-30,2007,36889069.20400227,115100887.62834093,0.0
FrontiÃ¨re(s),Karina Testa|AurÃ©lien Wiik|Patrick Ligardes|David Saracino|Maud Forget,Xavier Gens,fascism|nazis|chase|sadism|blood splatter,108.0,Drama|Horror|Action|Thriller,EuropaCorp|Pacific Films|Chemin Vert|Cartel Productions,2007-07-01,2007,3155005.74789463,115100887.62834093,-3155005.74789463
White Noise 2: The Light,Nathan Fillion|Katee Sackhoff|Craig Fairbrass|Adrian Holmes|Teryl Rothery,Patrick Lussier,suicide|murder,99.0,Thriller|Drama|Horror|Fantasy,Brightlight Pictures|Gold Circle Films,2007-01-05,2007,36889069.20400227,115100887.62834093,0.0
In the Shadow of the Moon,Buzz Aldrin|Michael Collins|Alan Bean|Eugene Cernan|Charles Duke,David Sington,nasa|space mission|rocket|moon landing|space,109.0,Documentary,Film4|Passion Pictures|Discovery Films,2007-01-19,2007,2103337.16526309,115100887.62834093,-2103337.16526309
Whisper,Blake Woodruff|Josh Holloway|Sarah Wayne Callies|Michael Rooker|Julian Christopher,Stewart Hendler,,94.0,Crime|Drama|Horror|Thriller,Universal Pictures|Canadian Film or Video Production Tax Credit (CPTC)|Gold Circle Films|Province of British Columbia Production Services Tax Credit|H2F Entertainment,2007-11-27,2007,12620022.9915785,5558275.63791849,-7061747.353660011
The Invincible Iron Man,Marc Worden|Gwendoline Yeo|John McCook,Patrick Archibald|Jay Oliva,prophecy|armor|marvel comic|billionaire|battle,83.0,Animation|Action|Science Fiction,Marvel Studios,2007-01-23,2007,36889069.20400227,5573843.48794719,5573843.48794719
Babylon 5: The Lost Tales - Voices in the Dark,Bruce Boxleitner|Peter Woodward|Alan Scarfe|Teryl Rothery|Keegan Macintosh,J. Michael Straczynski|Sara Barnes,babylon,75.0,Action|Adventure|Science Fiction,Warner Bros. Entertainment|Lost Tales Films|NS Pictures,2007-07-31,2007,36889069.20400227,115100887.62834093,0.0
The Land Before Time XIII: The Wisdom of Friends,Cody Arens,Jamie Mitchell,,76.0,Family|Animation,,2007-11-27,2007,36889069.20400227,115100887.62834093,0.0
La HabitaciÃ³n de Fermat,LluÃ­s Homar|Santi MillÃ¡n|Alejo Sauras|Federico Luppi|Elena Ballesteros,Luis Piedrahita|Rodrigo SopeÃ±a,secret|room|mathematics|genius|murder,88.0,Mystery|Thriller,Bocaboca Producciones S.A.|Notro Films,2007-10-07,2007,36889069.20400227,115100887.62834093,0.0
L'Auberge rouge,Josiane Balasko|Christian Clavier|GÃ©rard Jugnot|Jean-Baptiste Maunier|Sylvie Joly,GÃ©rard Krawczyk,,90.0,Comedy,Warner Bros.,2007-12-05,2007,36889069.20400227,115100887.62834093,0.0
The Cake Eaters,Kristen Stewart|Aaron Stanford|Bruce Dern|Elizabeth Ashley|Jayce Bartok,Mary Stuart Masterson,romance|independent film|illness|woman director,86.0,Drama|Romance,The 7th Floor,2007-04-29,2007,36889069.20400227,115100887.62834093,0.0
Encounters at the End of the World,,Werner Herzog,ice,99.0,Documentary,Discovery Films,2007-09-01,2007,36889069.20400227,115100887.62834093,0.0
Blonde Ambition,Jessica Simpson|Luke Wilson|Rachael Leigh Cook|Penelope Ann Miller|Andy Dick,Scott Marshall Smith,stripper|friends|best friend,93.0,Comedy|Romance,,2007-12-21,2007,10516685.8263154,115100887.62834093,-10516685.8263154
The Pixar Story,Stacy Keach|John Lasseter|Brad Bird|John Musker|Ron Clements,Leslie Iwerks,film making|film history|pixar animated short|behind the scenes|computer animation,87.0,Documentary,Leslie Iwerks Productions,2007-08-28,2007,36889069.20400227,115100887.62834093,0.0
My Blueberry Nights,Norah Jones|Jude Law|David Strathairn|Rachel Weisz|Cat Power,Wong Kar-wai,usa|kaffeehaus|poker|lovesickness|waitress,111.0,Drama|Romance,Block 2 Pictures|Jet Tone Production|StudioCanal|Lou Yi Inc.,2007-05-16,2007,10516685.8263154,22912427.8726248,12395742.0463094
You Kill Me,Ben Kingsley|TÃ©a Leoni|Luke Wilson|Bill Pullman|Dennis Farina,John Dahl,new york|san francisco|alcoholism|serial killer|alcoholic,90.0,Comedy|Crime|Thriller|Romance,Echo Lake Productions|Bi-polar Pictures|Code Entertainment|Independent Film Group|Carol Baum Productions,2007-02-09,2007,4206674.33052618,2552242.95142795,-1654431.3790982296
Barbie Fairytopia: Magic of the Rainbow,Alistair Abell|Sharon Alexander|Kathleen Barr|Andrew Francis,William Lau,fairy,75.0,Animation|Family|Fantasy|Romance,Mattel,2007-01-01,2007,36889069.20400227,115100887.62834093,0.0
Naam yi boon sik,Nicholas Tse|Shawn Yue|Jaycee Chan|Wu Jing|Andy On,Benny Chan,,129.0,Action,,2007-01-01,2007,36889069.20400227,115100887.62834093,0.0
Youth Without Youth,Tim Roth|Alexandra Maria Lara|Bruno Ganz|AndrÃ© Hennicke|Marcel IureÈ™,Francis Ford Coppola,fountain of youth|nepal|soulmates|dual identity|lightning,125.0,Fantasy|Drama|Mystery,American Zoetrope,2007-11-14,2007,36889069.20400227,115100887.62834093,0.0
BloodRayne II: Deliverance,Natassia Malthe|Zack Ward|Michael ParÃ©|Brendan Fletcher|Chris Coppola,Uwe Boll,based on video game,99.0,Action|Horror|Western,Boll Kino Beteiligungs GmbH & Co. KG,2007-09-18,2007,10516685.8263154,115100887.62834093,-10516685.8263154
Joe Strummer: The Future Is Unwritten,Joe Strummer|Mick Jones|Topper Headon|Paul Simonon|Terry Chimes,Julien Temple,,123.0,Music|Documentary,Filmfour|Parallel Film Productions|Sony BMG Feature Films|Nitrate Films,2007-05-18,2007,36889069.20400227,115100887.62834093,0.0
Persuasion,Sally Hawkins|Rupert Penry-Jones|Alice Krige|Anthony Stewart Head|Julia Davis,Adrian Shergold,love triangle|poetry|captain|navy|love,93.0,Drama|Romance,WGBH|Clerkenwell Films,2007-04-01,2007,36889069.20400227,115100887.62834093,0.0
Evening,Claire Danes|Toni Collette|Vanessa Redgrave|Patrick Wilson|Hugh Dancy,Lajos Koltai,mother|new love|bride|dying and death|friendship,130.0,Drama|Romance,MBF Erste Filmproduktionsgesellschaft,2007-06-09,2007,36889069.20400227,115100887.62834093,0.0
Gabriel,Dwaine Stevenson|Jack Campbell|Erika Heynatz|Andy Whitfield|Samantha Noble,Shane Abbess,archangel gabriel|heaven|matter of life and death|hell|good and bad,109.0,Fantasy|Horror|Action|Science Fiction,HILT Productions|Redline Films,2007-11-15,2007,36889069.20400227,115100887.62834093,0.0
Seed,Michael ParÃ©|Will Sanderson|Ralf Moeller|Jodelle Ferland|Thea Gill,Uwe Boll,horror|revenge|electric chair,90.0,Horror,Boll Kino Beteiligungs GmbH & Co. KG|Pitchblack Pictures Inc.,2007-04-27,2007,10516685.8263154,115100887.62834093,-10516685.8263154
Rise of the Footsoldier,Ricci Harnett|Terry Stone|Craig Fairbrass|Roland Manookian|Coralie Rose,Julian Gilbey,hooligan|crime|drug,119.0,Action|Adventure|Crime|Drama|Thriller,Carnaby International|Hanover Films,2007-09-07,2007,4206674.33052618,115100887.62834093,-4206674.33052618
The Darjeeling Limited,Owen Wilson|Jason Schwartzman|Adrien Brody|Bill Murray|Anjelica Huston,Wes Anderson,brother brother relationship|train attendant|drinking syrup|healing|steward,91.0,Adventure|Drama|Comedy,Fox Searchlight Pictures|Scott Rudin Productions,2007-09-29,2007,16826697.3221047,25636683.8407651,8809986.5186604
Broken English,Parker Posey|Drea de Matteo|Tim Guinee|Gena Rowlands|Melvil Poupaud,Zoe R. Cassavetes,career woman|single|independent film|woman director,97.0,Comedy|Drama|Romance,HDNet Films|Vox3 Films|Backup Films|Phantom Films,2007-01-01,2007,2103337.16526309,115100887.62834093,-2103337.16526309
Stomp the Yard,Columbus Short|Meagan Good|Ne-Yo|Darrin Henson|Jermaine Williams,Sylvain White,love at first sight|loss of brother|breakdance|daughter,114.0,Drama|Music,Rainforest Films,2007-05-16,2007,13671691.5742101,79412675.6983263,65740984.124116205
Virgin Territory,Ryan Cartwright|Hayden Christensen|Mischa Barton|Jay Villiers|Simone Spinazze,David Leland,,93.0,Adventure|Action|Comedy|Romance,Ingenious Film Partners|Dino de Laurentiis Cinematografica|Dino De Laurentiis Company|Zephyr Films|Red Lion Sarl,2007-12-17,2007,39963406.1399987,5690314.73180505,-34273091.40819365
Die FÃ¤lscher,Karl Markovics|August Diehl|Devid Striesow|Martin Brambach|August Zirner,Stefan Ruzowitzky,world war ii|sachsenhausen|counterfeit|nazi germany,98.0,Drama|Crime|War,Studio Babelsberg|Babelsberg Film GmbH|Magnolia Filmproduktion|FilmfÃ¶rderung Hamburg|Zweites Deutsches Fernsehen (ZDF),2007-02-09,2007,36889069.20400227,115100887.62834093,0.0
Hallam Foe,Jamie Bell|Sophia Myles|CiarÃ¡n Hinds|Claire Forlani|Jamie Sives,David Mackenzie,sexuality|new love|eroticism|night life|dying and death,95.0,Drama|Comedy|Thriller,,2007-02-16,2007,8413348.66105236,63774.2345193595,-8349574.426533
Boarding Gate,Asia Argento|Michael Madsen|Kelly Lin|Kim Gordon|Carl Ng,Olivier Assayas,paris|chase|stalker|murder|independent film,106.0,Drama|Thriller,Margo Films|Canal+|TPS Star|October Pictures,2007-05-18,2007,36889069.20400227,115100887.62834093,0.0
